Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_00bis04_min1,Impfungen_gesamt_gi,Impfungen_gesamt_00bis04_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfungen_gesamt_boost3,Impfungen_gesamt_boost4,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2023-08-07,Deutschland,00,192248678,64877387,2777,63564966,1724,52142643,12661637,1173226,122193,77.9,46.1,22.4,74.5,86.9,84.8,90.9,76.4,42.9,20.0,69.6,85.5,83.0,90.1,62.6,31.7,73.1,66.4,85.4,15.2,1.1,18.2,6.8,39.0
2023-08-07,Schleswig-Holstein,01,7518701,2356857,530,2327350,471,2058715,735705,110972,1580,80.7,60.6,30.8,94.3,87.8,85.1,92.3,79.6,57.6,29.8,88.7,87.0,84.4,91.4,70.5,48.6,80.8,74.8,91.1,25.2,1.7,30.0,11.4,61.9
2023-08-07,Hamburg,02,4698060,1607235,54,1565883,24,1244645,301053,39645,2258,86.7,52.4,29.8,80.1,97.1,96.7,98.0,84.5,47.0,24.3,75.4,95.2,94.1,97.8,67.1,29.5,79.0,73.4,92.9,16.2,1.4,19.5,8.7,46.2
2023-08-07,Niedersachsen,03,19435839,6405485,174,6230046,116,5388333,1530381,156627,4140,79.8,52.7,27.0,81.8,88.3,85.6,93.2,77.6,48.6,24.2,76.3,86.3,83.5,91.2,67.1,40.0,77.9,72.1,88.4,19.1,1.3,22.8,8.3,48.9
2023-08-07,Bremen,04,1826550,621566,5,597377,NA,457124,147580,18136,159,91.9,48.6,23.0,78.6,103.6,105.9,98.9,88.3,43.9,19.6,72.7,99.9,100.7,98.4,67.6,29.0,79.3,73.1,91.7,21.8,0.8,26.2,12.2,54.0
2023-08-07,Nordrhein-Westfalen,05,43890547,14660528,705,14249918,409,11836485,3288295,327496,86293,81.8,51.2,28.1,81.1,91.0,89.8,93.2,79.5,48.2,24.5,75.8,88.7,86.9,92.1,66.0,36.2,77.0,71.0,88.5,18.3,1.2,22.0,8.4,47.7
2023-08-07,Hessen,06,14499731,4968476,167,4772775,50,3854847,953200,109380,3740,78.9,48.5,24.1,76.0,88.0,86.2,91.4,75.8,43.3,21.0,68.7,85.0,82.9,89.2,61.2,31.6,71.6,65.2,84.1,15.1,1.2,18.1,7.4,39.1
2023-08-07,Rheinland-Pfalz,07,9572133,3243180,49,3105942,30,2617514,667659,54065,2277,79.0,48.2,23.6,76.7,87.8,84.7,93.2,75.6,44.2,21.5,70.7,84.4,81.3,89.8,63.7,34.1,74.1,67.7,85.4,16.3,1.1,19.4,6.8,41.6
2023-08-07,Baden-Württemberg,08,24762901,8422828,365,8293255,213,6837980,1356941,111670,8290,75.7,43.9,19.6,71.4,84.9,82.6,89.4,74.5,40.6,17.3,67.0,84.0,81.5,88.9,61.5,31.0,72.0,65.7,84.4,12.2,1.0,14.6,5.5,32.7
2023-08-07,Bayern,09,29035406,9911925,430,9901645,244,7808710,1584799,113329,5635,75.2,45.9,21.2,74.9,83.8,81.7,88.0,75.1,43.1,19.5,70.7,84.1,82.1,88.2,59.3,28.0,69.3,62.3,83.1,12.0,0.8,14.4,5.1,32.7
2023-08-07,Saarland,10,2455194,823001,13,809217,12,683167,164103,8890,446,83.8,46.8,18.8,78.9,92.7,91.8,94.0,82.4,43.7,17.0,73.9,91.4,89.9,93.7,69.5,34.5,79.8,73.7,89.3,16.7,1.0,19.6,6.7,39.8
2023-08-07,Berlin,11,8693447,2902252,175,2870428,101,2359345,602866,56401,5996,78.9,45.5,26.2,71.1,88.5,84.5,97.4,78.1,42.7,24.2,66.8,87.8,83.6,97.5,64.2,31.0,75.2,68.3,91.2,16.4,1.2,19.6,8.6,45.0
2023-08-07,Brandenburg,12,5080841,1723416,21,1728076,12,1417351,293354,13146,456,67.9,32.9,11.0,59.2,76.3,73.2,80.7,68.1,29.7,9.3,54.3,76.9,72.8,83.0,55.8,20.5,65.2,55.3,79.9,11.6,0.7,13.7,4.8,26.8
2023-08-07,Mecklenburg-Vorpommern,13,3578016,1218777,18,1204253,NA,970355,214297,11528,257,75.6,34.1,10.7,62.2,84.8,81.0,90.1,74.7,30.9,8.8,57.3,84.2,79.8,90.3,60.2,22.2,69.8,59.9,83.8,13.3,1.0,15.6,4.6,31.2
2023-08-07,Sachsen,14,7677339,2680641,35,2630105,17,2048933,365131,24836,348,66.3,25.1,7.7,46.9,75.5,68.8,85.2,65.1,23.6,7.0,44.3,74.2,67.5,84.0,50.7,15.3,59.4,48.8,74.9,9.0,0.6,10.7,3.4,21.4
2023-08-07,Sachsen-Anhalt,15,4690387,1620351,22,1607013,16,1268750,255748,8299,109,74.7,31.0,8.8,57.4,83.9,78.8,90.7,74.1,28.6,7.8,53.2,83.5,78.1,90.8,58.5,18.5,67.7,56.3,83.3,11.8,0.9,13.8,3.8,27.5
2023-08-07,Thüringen,16,4284208,1508708,9,1481523,NA,1144193,190552,8044,83,71.5,30.6,11.5,54.3,80.4,75.2,87.7,70.3,29.3,10.8,52.3,79.1,72.9,87.7,54.3,19.6,62.9,52.2,78.0,9.0,0.5,10.6,3.5,20.6
2023-08-07,Bundesressorts,17,549378,202161,5,190160,NA,146196,9973,762,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
